date,price
2005-01-31,2.1610000133514404
2005-02-28,1.7589999437332153
2005-03-31,1.7135000228881836
2005-04-30,1.6180000305175781
2005-05-31,1.7755000591278076
2005-06-30,1.6545000076293945
2005-07-31,2.257499933242798
2005-08-31,2.134999990463257
2005-09-30,2.265000104904175
2005-10-31,1.9930000305175781
2005-11-30,2.4230000972747803
2005-12-31,2.3575000762939453
2006-01-31,2.240999937057495
2006-02-28,1.871999979019165
2006-03-31,1.8265000581741333
2006-04-30,1.7604999542236328
2006-05-31,1.7304999828338623
2006-06-30,1.934000015258789
2006-07-31,1.344499945640564
2006-08-31,1.5414999723434448
2006-09-30,1.6059999465942383
2006-10-31,1.9045000076293945
2006-11-30,2.0169999599456787
2006-12-31,1.9730000495910645
2007-01-31,1.8834999799728394
2007-02-28,1.9570000171661377
2007-03-31,1.9895000457763672
2007-04-30,3.066499948501587
2007-05-31,3.4570000171661377
2007-06-30,3.4205000400543213
2007-07-31,3.927000045776367
2007-08-31,3.995500087738037
2007-09-30,4.65749979019165
2007-10-31,4.457499980926514
2007-11-30,4.5279998779296875
2007-12-31,4.631999969482422
2008-01-31,3.884999990463257
2008-02-29,3.2235000133514404
2008-03-31,3.565000057220459
2008-04-30,3.93149995803833
2008-05-31,4.080999851226807
2008-06-30,3.6665000915527344
2008-07-31,3.816999912261963
2008-08-31,4.040500164031982
2008-09-30,3.638000011444092
2008-10-31,2.861999988555908
2008-11-30,2.134999990463257
2008-12-31,2.563999891281128
2009-01-31,2.940999984741211
2009-02-28,3.239500045776367
2009-03-31,3.671999931335449
2009-04-30,4.026000022888184
2009-05-31,3.8994998931884766
2009-06-30,4.183000087738037
2009-07-31,4.288000106811523
2009-08-31,4.059500217437744
2009-09-30,4.668000221252441
2009-10-31,5.940499782562256
2009-11-30,6.795499801635742
2009-12-31,6.72599983215332
2010-01-31,6.270500183105469
2010-02-28,5.920000076293945
2010-03-31,6.78849983215332
2010-04-30,6.855000019073486
2010-05-31,6.2729997634887695
2010-06-30,5.4629998207092285
2010-07-31,5.894499778747559
2010-08-31,6.241499900817871
2010-09-30,7.853000164031982
2010-10-31,8.261500358581543
2010-11-30,8.770000457763672
2010-12-31,9.0
2011-01-31,8.482000350952148
2011-02-28,8.66450023651123
2011-03-31,9.006500244140625
2011-04-30,9.790499687194824
2011-05-31,9.834500312805176
2011-06-30,10.224499702453613
2011-07-31,11.12600040435791
2011-08-31,10.761500358581543
2011-09-30,10.81149959564209
2011-10-31,10.67549991607666
2011-11-30,9.614500045776367
2011-12-31,8.654999732971191
2012-01-31,9.722000122070312
2012-02-29,8.98449993133545
2012-03-31,10.125499725341797
2012-04-30,11.595000267028809
2012-05-31,10.645500183105469
